0ad 0.0.26_alpha
arno-iptables-firewall 2.1.1
arp-scan 1.9.7
arp-sk 0.0.16
arpack 3.9.0
arpd 0.2
Arpeggio 2.0.0
arphicfonts 0.2.20080216.1
arping 2.23
arpoison 0.7
arpon 3.0
arprec 2.2.19
arpsponge 3.17.11
arptables 0.0.5
arptools 1.0.2
arpwatch 3.1
Array-Compare 3.0.8
Array-Diff 0.90.0
Array-RefElem 1.0.0
Array-Window 1.20.0
arrayprobe 2.0
arrow 1.2.3
arrows 0.6
arsenic 21.8
arss 0.2.3
arti 1.1.3
artikulate 23.04.0
artwiz-aleczapka-en 1.3
artwiz-latin1 1.1
aruba 2.1.0
asa 1.1
asa 1.40.0
asapm 3.1
ascii-invaders 1.0.1
ascii85 1.1.0
asciicast-tools 0.0_pre20220524
asciidoc 10.2.0
asciidoctor 2.0.18
asciidoctor-diagram 2.0.5
asciimath 2.0.5
asciinema 2.2.0
asclock 2.0.12
ascpu 1.11
asdf 3.3.5
asedriveiiie-serial 3.5
asedriveiiie-usb 3.5
asekey 3.7
aseprite 1.2.40
aseqview 0.2.8
asfrecorder 1.1
asgiref 3.6.0
asio 1.26.0
asm 9.4
asmail 2.1
asmem 1.12
asmjit 2022.07.02
asmon 0.71
asn1-encoding 0.9.6
asn1-parse 0.9.5
asn1-types 0.3.3
asn1crypto 1.5.1
aspectj 1.9.7
aspell 0.60.8
aspell-af 0.50.0
aspell-am 0.03.1
aspell-ar 1.2.0
aspell-ast 0.01
aspell-az 0.02.0
aspell-be 0.01
aspell-bg 4.1.0
aspell-bn 0.01.1.1
aspell-br 0.50.2
aspell-ca 2.5.0
aspell-cs 20040614.1
aspell-csb 0.02.0
aspell-cy 0.50.3
aspell-da 4.2
aspell-de 20161207.7.0
aspell-de-alt 2.1.1
aspell-el 0.08.0
aspell-en 2020.12.07.0
aspell-eo 2.1.20000225.2
aspell-es 1.11.2
aspell-et 0.1.21.1
aspell-fa 0.11.0
aspell-fi 0.7.0
aspell-fo 0.2.16.1
aspell-fr 0.50.3
aspell-fy 0.12.0
aspell-ga 5.1.0
aspell-gd 0.1.1.1
aspell-gl 0.5.2
aspell-grc 0.02.0
aspell-gu 0.03.0
aspell-gv 0.50.0
aspell-he 1.0.0
aspell-hi 0.02.0
aspell-hil 0.11.0
aspell-hr 0.51.0
aspell-hsb 0.02.0
aspell-hu 0.99.4.2.0
aspell-hus 0.03.1
aspell-hy 0.10.0.0
aspell-ia 0.50.1
aspell-id 1.2.0
aspell-is 0.51.1.0
aspell-it 2.4.20070901.0
aspell-kn 0.01.1
aspell-ku 0.20.1
aspell-ky 0.01.0
aspell-la 20020503.0
aspell-lt 1.3.2
aspell-lv 0.9.3
aspell-mg 0.03.0
aspell-mi 0.50.0
aspell-mk 0.50.0
aspell-ml 0.04.1
aspell-mn 0.06.2
aspell-mr 0.10.0
aspell-ms 0.50.0
aspell-mt 0.50.0
aspell-nb 0.50.1.0
aspell-nds 0.01.0
aspell-nl 0.50.2
aspell-nn 0.50.1.1
aspell-no 0.50.2
aspell-ny 0.01.0
aspell-or 0.03.1
aspell-pa 0.01.1
aspell-pl 6.0.20230301.0
aspell-pt 20220621
aspell-pt-br 20131030.12.0
aspell-qu 0.02.0
aspell-ro 3.3.10
aspell-ru 0.99.1
aspell-rw 0.50.0
aspell-sc 1.0
aspell-sk 2.02.0
aspell-sl 0.50.0
aspell-sr 0.02
aspell-sv 0.51.0
aspell-sw 0.50.0
aspell-ta 20040424.1
aspell-te 0.01.2
aspell-tet 0.1.1
aspell-tk 0.01.0
aspell-tl 0.4.0
aspell-tn 1.0.1.0
aspell-tr 0.50.0
aspell-uk 1.4.0.0
aspell-uz 0.6.0
aspell-vi 0.01.1.1
aspell-wa 0.50.0
aspell-yi 0.01.1.1
aspell-zu 0.50.0
asr-manpages 1.3_rc6
assault-android-cactus+ 200507
assertj-core 3.10.0
assess 0.6
assimp 5.2.5
assistant 5.15.9
assoc 1.0.2
ast 2.4.2
asterisk 20.2.0
asterisk-core-sounds 1.6.1
asterisk-extra-sounds 1.5.2
asterisk-g729 20.0.3.1.10
asterisk-moh-opsound 2.03
asterisk-opus 20.0.1.3.0
asteroid 1.2.1
asteval 0.9.29
astime 2.8
astmanproxy 1.28.2
astor 0.8.1
astring 0.8.5
Astro-FITS-Header 3.80.0
astroid 2.15.4
astrolog 7.40
astrolog-ephemeris 7.40
astromenace 1.4.2
asttokens 2.2.1
astunparse 1.6.3
astyle 3.1
asunder 2.9.7
asymptote 2.85
async 0.15.0
async 1.9.7
async 2.2.4
async 2.5.0
async_extra 0.15.0
async_generator 1.10
async_kernel 0.15.0
async_rpc_kernel 0.15.0
async_unix 0.15.0
async-container 0.16.12
async-io 1.34.3
async-lru 2.0.2
async-process 1.3.1
async-rspec 1.16.1
async-timeout 4.0.2
asyncstdlib 3.10.7
at 3.2.5
at-spi2-atk 2.46.0
at-spi2-core 2.48.0
atakks 1.0
atanks 6.6
atari-fdisk 0.7.1.5.4
atari800 5.0.0
atcore 1.0.0
atd 2.11.0
aterm 1.0.1
AtExit 2.50.0
atf 0.21
atftp 0.8.0
athcool 0.3.12
atheme-services 7.2.12
atk 2.46.0
atkmm 2.28.3
atlas 0.6.1_beta_pre20181202
atlas 3.10.2
atmel-firmware 1.3
atomic 1.1.101
atomic-chrome 2.0.0
atomic-primops 0.8.4
atomicparsley 0.9.6_p20210715_p151551
atomicwrites 1.4.1
atomix 44.0
atool 0.39.0
atop 2.8.1
atpublic 3.1.1
atril 1.26.1
attica 5.105.0
attoparsec 0.14.4
attoparsec-iso8601 1.0.2.1
attr 2.5.1
attrs 23.1.0
aubio 0.4.9
aucatctl 0.1
aucdtect 0.8.2
auctex 1.58
auctex 13.1
audacious 4.3.1
audacious-plugins 4.3.1
audacity 3.2.5
audex 0.95_pre20220909
Audio-CD-disc-cover 0.05
Audio-DSP 0.20.0
audio-entropyd 2.0.3
Audio-FLAC-Header 2.400.0
Audio-Mixer 0.700.0
Audio-Musepack 1.0.1
Audio-Scan 1.10.0
Audio-Wav 0.140.0
Audio-WMA 1.300.0
audiocd-kio 23.04.0
audiocompress 2.0
audiofile 0.3.6
audioread 3.0.0
audiotag 0.19
audiotools 3.1.1
audit 3.1.1
aufs-headers 4.14_p20190603
aufs-util 4.14_p20190603
augeas 1.14.0
augustus 3.1.0
augustus 3.4.0
aumix 2.9.1
aunit 23.0.0
AusweisApp2 1.26.4
authbind 2.1.2
Authen-DigestMD5 0.40.0
Authen-Htpasswd 0.171.0
Authen-Libwrap 0.230.0
Authen-NTLM 1.90.0
Authen-OATH 2.0.1
Authen-PAM 0.160.0
Authen-Radius 0.320.0
Authen-SASL 2.160.0
Authen-SASL-SASLprep 1.100.0
Authen-SCRAM 0.11.0
Authen-Simple 0.500.0
Authen-Simple-Passwd 0.600.0
authforce 0.9.9
authres 1.2.0
auto-complete 1.5.1
auto-multiple-choice 1.3.0
auto-update 0.1.6
autoalign 14
autobahn 23.1.2
autobook 1.5
autobox 3.0.1
autocommand 2.2.2
autoconf 2.72c
autoconf-archive 2023.02.20
autoconf-dickey 2.52_p20230114
autoconf-mode 2.71
autoconf-wrapper 20221207
autocutsel 0.10.1
autodia 2.140.0
autodock 4.2.6
autodock_vina 1.1.2
autofs 5.1.8
autogen 5.18.16
autojump 22.5.3
automake 1.16.5
automake-wrapper 20221207
automat 22.10.0
automatic 0.9.0
automx2 2022.1
autopage 0.5.1
autopano-sift-C 2.5.1
autopep8 2.0.2
autoprefixer-rails 10.4.13.0
autoproject 0.20_p5
autoprop 4.1.0
autorandr 1.13.3
autorespond 2.0.5
autorun 3.17
autossh 1.4g
autoupnp 0.5.0
autovivification 0.180.0
AutoXS-Header 1.20.0
avadon 1.0.4_p1331768904
avahi 0.8
avalon-framework 4.2.0
avalon-logkit 2.1
avarice 2.14
avfs 1.1.4
avidemux 2.8.1
avidemux-core 2.8.1
avidemux-plugins 2.8.1
aview 1.3.0_rc1
avogadro2 1.97.0
avogadrolibs 1.97.0
avp 20150214
avr-libc 2.1.0
avra 1.4.2
avrdude 7.0
avro-c 1.9.1
avy 0.5.0
awale 1.6
away 0.9.5
awesfx 0.5.2
awesome 4.3
awk 4
awl 0.63
aws 0.22
aws 23.0.0
aws-c-cal 0.4.5
aws-c-common 0.5.2
aws-c-event-stream 0.2.7
aws-c-io 0.9.2
aws-checksums 0.1.10
aws-elb-tools 1.0.15.1
aws-eventstream 1.2.0
aws-partitions 1.722.0
aws-sam-translator 1.66.0
aws-sigv4 1.5.2
aws-xray-sdk 2.12.0
awscli 1.27.129
awscli-bin 2.11.17
awstats 7.8
awxkit 22.1.0
ax25-apps 0.0.8_rc5
ax25-tools 0.0.10_rc5
axel 2.17.11
axiom-types 0.1.1
axtls 2.1.5
ayatana-ido 0.9.3
aylet 0.5
B-COW 0.4.0
B-Debug 1.260.0
B-Flags 0.170.0
B-Hooks-EndOfScope 0.240.0
B-Hooks-OP-Check 0.220.0
B-Hooks-Parser 0.210.0
B-Keywords 1.240.0
B-OPCheck 0.320.0
B-Utils 0.270.0
b2 4.9.6
b4 0.12.1
b43-firmware 6.30.163.46
b43-fwcutter 019
b43legacy-firmware 3.130.20.0
b5i2iso 0.2
Babel 2.12.1
babeld 1.9.1
babelfish 0.6.0
babeltrace 1.5.8
babl 0.1.102
backcall 0.2.0
backintime 1.3.3
backoff 2.2.1
backports 3.24.1
backrefs 5.4
backup-manager 0.7.14
backupninja 1.2.2
backuppc 4.4.0
BackupPC-XS 0.620.0
bacon 1.2.0
bact 0.13
bacula 13.0.2
badland 121
baekmuk-fonts 2.2
baikal 0.9.3
baka-mplayer 2.0.4
balance 3.57
baldurs-gate-ee 2.6.6.0.47291
ballerburg 1.2.0
balloonchase 0.9.6
baloo 5.105.0
baloo-widgets 23.04.0
balsa 2.6.4
bamtools 2.5.2
bandit 1.7.5
banner 1.3.5
baobab 44.0
bar 1.11.1
barbarian-bin 1.01
barby 0.6.8
barcode 0.99
barcode 1.3.5.0
bareos 22.0.3
bareos 22.0.3
bareword-filehandles 0.7.0
barman 3.2.0
barnyard 0.2.0
barnyard2 1.13
barrage 1.0.5
barrier 2.4.0
bas 2.4
base 0.15.1
base_bigstring 0.15.0
base_quickcheck 0.15.0
base-compat 0.12.1
base-compat-batteries 0.12.1
base-orphans 0.8.6
base16-bytestring 0.1.1.7
base32 0.3.4
base64-bytestring 1.0.0.3
base64url 1.0.1
baselayout 2.13
baselayout-java 0.1.0
basement 0.0.12
bash 5.2_p15
bash-completion 2.11
bash-support 4.3
bashate 2.1.1
bashburn 3.1.0
bashdb 5.0.1.1.2
bashish 2.2.4
bashmark 0.6.2
bashmount 4.3.2
bashnapi 2.0.0
basho-erlastic 2.1.1
bashtop 0.9.25
basic-toolkit 0.7
basis_universal 1.16.3
basket 2.49b
bass 1.3
bastet 0.43.2
bastion 20161016
basu 0.2.1
bat 0.22.1
batctl 2022.2
batik 1.16
batmon 0.8
batrachians 0.1.7
bats 1.9.0
battalion 1.4b
batteries 3.6.0
baudline 1.08
bazel 5.3.0
bb 1.3.0_rc1
bbacpi 0.1.5
bbcd 0.3.1
bbdate 0.2.4
bbdb 1.35
bbdb 3.2.2b
bbe 0.2.2
bbkeys 0.9.2
bblaunch 0.0.3
bbmail 0.9.3
bbpager 0.4.7
bbppp 0.2.5
bbrun 1.6
bbswitch 0.8_p20211129
bbtime 0.1.5
bbtools 1.9
bbweather 0.6.3
bc 0
bc 1.07.1
bc-gh 6.5.0
bcache-tools 1.1
bcachefs-tools 24_p20221124
bcc 0.27.0
bcel 6.6.0
bcftools 1.17
bcg729 1.1.1
bchunk 1.2.2
bcm2835 1.71
bcmail 1.72
bcpg 1.72
bcpkix 1.72
bcpp 20230130
bcprov 1.72
bcron 0.11
bcrypt 4.0.1
bcrypt_pbkdf 1.1.0
bcrypt-ruby 3.1.18
bcutil 1.72
bcwipe 1.9.13
BDB 1.920.0
bdelta 0.3.1
bdf2psf 1.155
bdf2sfd 1.1.8
bdftopcf 1.1.1
bdsup2sub 4.0.0
beagle 0.3.0
beagle 3.0.3
beancounter 0.8.10
beanstalkd 1.12
bear 3.0.21
beartype 0.14.0
beathazardultra 20130308
beautifulsoup4 4.12.2
bedrock-server 1.19.81.01
bedtools 2.30.0
beep 1.4.9
bees 0.9
beets 1.6.0
beforelight 1.0.6
below 0.6.3
bemenu 0.6.14
bempc 0.11_p20160207
benchmark 1.7.1
benchmark-ips 2.12.0
Benchmark-Timer 0.711.200
bencode 0.6.1.1
beniget 0.4.1
BerkeleyDB 0.640.0
bertini 1.6
berusky 1.7.1
betamax 0.8.1
betamax-matchers 0.4.0
betna 0.9.7
bfast 0.7.0a
bff 1.0.7
bff-or-die 20200614
bfg 1.13.0
bfgminer 5.5.0
bfm 0.6.4
bfr 1.6
bglibs 2.04
bgpq4 1.8
bgrep 0.2_p20210221
bibclean 3.06
biber 2.16
biblatex 3.16
biblatex-gost 1.17
biblesync 2.1.0
bibletime 3.0.3
biblio 0.3
biboumi 9.0
bibtex2html 1.99
bibtexparser 1.4.0
