0ad 0.0.26_alpha
R 4.2.3
r10k 3.15.0
r8125 9.011.00
r8152 2.16.3
r8168 8.051.02
rabbitmq_exporter 0.29.0
rabbitmq-c 0.11.0
rabbitmq-server 3.11.2
racc 1.6.2
race64 1.0.0
rack 3.0.7
rack-attack 6.6.1
rack-cache 1.13.0
rack-openid 1.4.2
rack-protection 3.0.5
rack-test 2.1.0
racket 8.8
racket-mode 1_p20230506
rackup 2.1.0
radamsa 0.6
radare2 5.8.2
radarr 4.5.0.7106
raddump 0.3.1
radeon-profile 20200824
radeon-profile-daemon 20190603
radeontool 1.6.3_p20181127
radeontop 1.4
radicale 3.1.8
radius 0.7.5
radiusclient-ng 0.5.6
radmind 1.15.4
radon 6.0.1
radvd 2.19
raet 0.6.8
raft 0.17.1
rage 0.4.0
ragel 7.0.4
raid-check 20140719
rail 1.2_p1
rails 5.2
rails 7.0.4.3
rails-dom-testing 2.0.3
rails-html-sanitizer 1.5.0
railties 7.0.4.3
rain 1.2.9_beta1
rainbow 3.1.1
rainbow_parentheses 1.0
rainbow-delimiters 2.1.5
rainbow-mode 1.0.6
rainbowcrack 1.8
rake 13.0.6
rake-compiler 1.2.1
rake-remote_task 2.4.4
raku-mode 0.2.1_p20211121
rakudo 2023.02
ramspeed 3.5.0
random 1.2.1
random123 1.14.0
random2 1.0.1
randomized-runner 2.8.0
randomsig 1.10.0
range-v3 0.12.0
ranger 1.9.3
ranpwd 1.2
rantly 2.0.0
rapidfuzz 3.0.0
rapidfuzz_capi 1.0.5
rapidfuzz-cpp 1.11.3
rapidjson 1.1.0
rapidyaml 0.5.0
raptor 2.0.15
rar 6.21
rar2fs 1.29.5
rarfile 4.0
rarian 0.8.4
rasdaemon 0.8.0
rash_alt 0.4.12
raspberrypi-firmware 1.20230106
raspberrypi-image 5.15.32_p20220331
raspberrypi-omxplayer 0_p20160528
raspberrypi-sources 5.15.84_p20230106
raspberrypi-userland 0_pre20201022
raspberrypi-userland-bin 1.20201201
raspberrypi-wifi-ucode 20221012.1_p1
rasqal 0.9.33
raster3d 3.0.6
rat 0.13
ratelimit 2.2.1
ratpoison 1.4.9
rats 2.4
rav1e 0.6.3
raw-strings-qq 1.1
raw-thumbnailer 0.2.1
rawrec 0.9.991
rawtherapee 5.9
raxml 7.2.6
razer-cli 2.1.0
razercfg 0.42
razercommander 1.2.1.2
razertool 0.0.7
razor 2.85
rb-inotify 0.10.1
rb-readline 0.5.5
rblcheck 1.5
rbldnsd 0.998b
rbnacl 7.1.1
rbot 0.9.15_p20160325
rbpdf 1.21.0
rbpdf-font 1.19.1
rbs 3.0.4
rbst 0.6.5
rbtools 4.0
rbtree 0.4.6
rbutil 1.5.1
rc 1.7.4
rcairo 1.17.8
rccl 5.1.3
rcenter 0.6.2
rchardet 1.8.0
rclone 1.62.2
rcm 1.3.6
Rcs 1.50.0
rcs 5.10.1
rcsi 0.5
rdate 1.11
rdedup 1.0.2
rdesktop 1.9.0
rdfind 1.5.0
rdflib 6.3.2
rdiff-backup 2.2.4
rdiscount 2.2.7
rdma-core 45.0
rdoc 6.5.0
rdtool 0.6.38
rdumpfs 0.1
rdup 1.1.15
re 1.10.4
re-assert 1.1.0
re-builder 1.07
re2 0.2022.12.01
re2c 2.2
react 1.2.2
reactiveData 0.2.1
reactphp-promise 2.8.0
read-edid 3.0.2
readahead-list 1.20060421.1016
readarr 0.1.4.1596
readline 3.3
readline 8.2_p1
readme_renderer 37.3
Readonly 2.50.0
Readonly-XS 1.50.0
readosm 1.1.0a
readthedocs-sphinx-ext 2.2.0
realesrgan-ncnn-vulkan 0.2.0
realpath 1.18
realpath_turbo 2.0.0
realtime-base 0.1
rear 2.7
reason 3.8.2
reaver 1.6.5
reazon 0.4.1
rebar 3.20.0
rebase 1901
rebulk 3.2.0
recaptcha 1.2.4
recastnavigation 1.5.1_p20230102
recmpeg 1.0.5
recode 3.7.14
recog 3.1.1
recoll 1.34.6
recommonmark 0.7.1
recon 1.08
recordmydesktop 0.3.8.1
recover 0.18
recover-broken-vdb 1.0.0
recoverjpeg 2.2.3
recurring-ical-events 2.0.2
red-blue-quake2 0.1
red-colors 0.3.0
redcarpet 3.6.0
redcloth 4.3.2
redeclipse 2.0.0
redir 3.3
Redis 1.998.0
redis 4.5.4
redis 4.8.0
redis 7.0.11
redis_exporter 1.44.0
redis-ipc 0.1.0
RedisDB 2.570.0
RedisDB-Parser 2.230.0
redland 1.0.17
redland-bindings 1.0.17.1
redmine 5.0.5
redo 0.42d
redo+ 1.19
redoflacs 0.30
redshift 1.12
redsocks 0.5
reducers 3.12.3
reduze 2.4
reedsolomon 2.1.0_beta1
ref 2.0.0
Ref-Util 0.204.0
Ref-Util-XS 0.117.0
refbase 0.9.6_p20180223
refind 0.13.3.1
reflection 2.1.6
reflections 0.9.12
reflex 20230206
reflink 0.2.1
reformatter 0.6
reftex 1.36
reg 0.16.1
regex 2023.5.5
regex-applicative 0.3.3.1
regex-base 0.94.0.1
regex-compat 0.95.2.1
regex-markup 0.10.0
regex-posix 0.96.0.0
regex-tdfa 1.3.2
regexp_parser 2.7.0
regexp_property_values 1.3.0
Regexp-Common 2017060201.0.0
Regexp-Common-net-CIDR 0.30.0
Regexp-IPv6 0.30.0
Regexp-RegGrp 2.10.0
Regexp-Shellish 0.930.0
Regexp-Trie 0.20.0
Regexp-Util 0.5.0
regexxer 0.10
regionset 0.2
regress 1.5.1
reiser4progs 2.0.5
reiserfs-defrag 0.2.2
reiserfsprogs 3.6.27
rej 0.16
rejik 3.2.11
relaxng-datatype 20020414
relay-ctrl 3.2
reload 0.6.17
reload4j 1.2.22
remake 4.3.1.1.5
remarkable 1.9.0_pre20210320
remember 2.0
remind 04.02.02
remmina 1.4.30
renaissance 0.9.0
rename 1.110.0
rename 1.3
renameutils 0.12.0
renattach 1.2.4
rencode 1.0.6
rendercheck 1.5
renderdoc 1.24
reno 4.0.0
reoback 1.0_p3
repeat 1.1
repmgr 5.1.0
repo 2.30
repo-commit 0.4.1
repolite 0.4.0
reportlab 3.6.13
reposurgeon 4.27
repoze-lru 0.7
reptyr 0.9.0
request 0.3.3_p20220318
request_store 1.5.1
requests 2.30.0
requests_download 0.1.2
requests-cache 1.0.1
requests-credssp 2.0.0
requests-file 1.5.1
requests-futures 1.0.0
requests-kerberos 0.14.0
requests-mock 1.10.0
requests-ntlm 1.2.0
requests-oauthlib 1.3.1
requests-toolbelt 1.0.0
requests-unixsocket 0.3.0
requestsexceptions 1.4.0
rescript-mode 0.1.0_p20220613
rescrobbled 0.7.0
resid 0.16_p2
resilio-sync 2.7.3.1381
resin-servlet-api 4.0.27
resolv 0.1.2.0
resolv_wrapper 1.1.8
resolvconf 1
resolvconf-symlink 0
resolve-march-native 2.2.0
resolvelib 1.0.1
resource-agents 4.11.0
resource-pool 0.2.3.2
resourcet 1.2.4.2
responses 0.23.1
rest 0.9.1
rest-client 2.1.0
REST-Client 280
restart-services 0.17.0
restartd 0.2.2
restclient 0_p20220426
restic 0.15.1
restorecond 3.5
restructuredtext-lint 1.4.0
restview 3.0.0
result 1.5
retext 8.0.0
retrobattle 1.0.0
retroshare 0.6.6
retry 0.9.0.0
retry-decorator 1.1.1
retrying 1.3.4
Return-Value 1.666.5
rev-plugins 0.8.1
revelation 0.5.5
revive 2.24
rex 1.14.1
rexical 1.0.7
rexima 1.4
rexml 3.2.5
rezerwar 0.4.2
rfc3339-validator 0.1.4
rfc3986 2.0.0
rfc3986-validator 0.1.1
rfc3987 1.3.8
rfcview 0.13
rfksay 0.1
rg 2.3.0
rgb 1.1.0
rgbds 0.6.1
rhapsody 0.28b
rhash 1.4.3
rhino 1.7.14
rhythmbox 3.4.7
ri-browser 1.2
ri-li 2.0.1
rich 13.3.4
ricochet 1.1.4
ricty 3.2.0
riece 1.27
riece 9.0.0
rifiuti 20040505_p1
rime-data 0.38.20180515
rinetd 0.73
rinku 2.0.6
rinstall 0.2.0
rinutils 0.10.2
rio 0.1.21.0
rioutil 1.5.4
rip 1.07
ripgrep 13.0.0
ripgrep-all 0.9.6
ripmime 1.4.0.10
ripole 0.2.2
ripperx 2.7.3
riseup-vpn 0.21.11_p20221113
ristretto 0.13.0
ritex 1.0.1
rive 1.15
rizin 0.5.2
rjb 1.6.7
rkelly-remix 0.0.7
rkflashtool 6.1
rkhunter 1.4.6
rkward 0.7.5
rl 0.2.7
rlog 1.4
rlottie 0.2_p20210405
rlwrap 0.46.1
rmagick 5.2.0
rmail 1.16
rman 3.2
rmlint 2.10.1
rnaview 20040713
rnc-mode 1.0.6
rnc2rng 2.6.6
rng-tools 6.16
rngstreams 1.0.1
rnnoise 0.4.1_p20210122
rnv 1.7.11
roadie 5.1.0
roadie-rails 3.0.0
robin-hood-hashing 3.11.5
robin-map 0.6.3
robodoc 4.99.43
robotfindskitten 2.7182818.701
roboto 2.138
robots 0.10.1
rocBLAS 5.4.2
roccat-tools 5.9.0
rocFFT 5.1.3
rockdodger 1.1.4
rocketchat-desktop-bin 3.8.16
rocksdb 7.9.2
rocksndiamonds 4.3.5.4
rocm_bandwidth_test 5.4.3
rocm-cmake 5.4.3
rocm-comgr 5.4.3
rocm-device-libs 5.4.3
rocm-k8s-device-plugin 0.5.0
rocm-opencl-runtime 5.4.3
rocm-smi 5.4.2
rocminfo 5.4.3
rocPRIM 5.1.3
rocprofiler 5.3.3
rocr-runtime 5.4.3
rocRAND 5.1.3
rocs 23.04.0
rocSOLVER 5.1.3
rocSPARSE 5.1.3
roct-thunk-interface 5.4.3
rocThrust 5.1.3
roctracer 5.3.3
rodent 5.3.16.3
rofi 1.7.5
rofi-calc 2.2.0
rofi-file-browser-extended 1.3.1
rogauracore 1.6
Role-Basic 0.130.0
Role-HasMessage 0.6.0
Role-Identifiable 0.7.0
Role-Tiny 2.2.4
Roman 1.240.0
roman 4.0
rome 0.9
ronn-ng 0.9.1
root 6.28.02
root-tail 1.2
rootlesskit 0.14.2
rope 1.8.0
ropemode 0.6.1
ROPgadget 7.3
ropper 1.13.8
rosegarden 22.12.1
rosetta-db 3.4
roswell 21.10.14.111
rotix 0.83
rotoscope 0.2
rotp 6.2.2
rott 1.1.2
rouge 4.1.0
roundcube 1.6.1
roundup 2.2.0
Router-Simple 0.170.0
routes 2.5.1
routino 3.3.3
rovclock 0.6e
rover 1.0.1
rox-filer 2.11
roxterm 3.9.4
rp-l2tp 0.4
rp-pppoe 3.15
RPC-XML 0.820.0
rpc2 2.14
rpcbind 1.2.6
rpcsvc-proto 1.4.3
rpg-cli 1.0.1
rpi-eeprom 15.0_p1
rpick 0.8.13
rpl 1.15.2
rply 0.7.8
rpm 4.18.0
rpm-spec-mode 0.16
rpm2targz 2021.03.16
rpmatch-standalone 1.0
rpmdevtools 9.5
rpy 3.5.8
rpyc 5.3.1
rq 1.14.1
rqlite 7.13.1
rqrcode 2.1.2
rqrcode_core 1.2.0
rr 3.1.0
rr 5.6.0
RRD-Simple 1.440.0
rrdcollect 0.2.10
rrdtool 1.8.0
rrdtool-bindings 1.8.0
rremove 1.0.5
rresult 0.7.0
rrootage 0.23a
rrs 1.70
rsa 4.9
rsibreak 0.12.15
rsnapshot 1.4.5
rspamd 3.5
rspec 3.12.0
rspec-block_is_expected 1.0.5
rspec-collection_matchers 1.2.0
rspec-core 3.12.2
rspec-expectations 3.12.3
rspec-files 1.1.3
rspec-its 1.3.0
rspec-json_expectations 2.2.0
rspec-memory 1.0.3
rspec-mocks 3.12.3
rspec-pending_for 0.1.16
rspec-rails 6.0.2
rspec-stubbed_env 1.0.1
rspec-support 3.12.0
rspectacular 0.70.8
rss 0.2.9
rss-glx 0.9.1
rss2email 3.14
rssguard 4.3.3
rsstail 2.1_p20200310
rsstool 1.0.1_rc2
rst-linker 2.4.0
rstart 1.0.6
rsvndump 0.6.1
rsync 3.2.7
rsync-bpc 3.1.3.0
rsyslog 8.2304.0
rt 4.4.4
rt-sources 6.1.26_p8
rt-tests 2.5
rtabmap 0.20.23
rtaudio 5.2.0
RTF-Writer 1.110.0
rtf2html 0.2.0
rtimulib 7.2.1
rtirq 20220923
rtkit 0.13
rtl_433 22.11
rtl-sdr 0.6.0_p20221217
rtlamr 0.9.1
rtmidi 5.0.0
rtmpdump 2.4_p20210219
rtorrent 0.9.8
rtpbreak 1.3a
rtree 1.0.0
rtrlib 0.8.0
rtslib-fb 2.1.74
rtsp-conntrack 5.3
ruamel-std-pathlib 0.12.0
ruamel-yaml 0.17.24
ruamel-yaml-clib 0.2.7
rubber 1.6.0
rubberband 3.2.1
ruby 3.2.2
ruby_engine 2.0.0
ruby_parser 3.19.2
ruby_smb 3.2.5
ruby_version 1.0.3
ruby-atk 4.1.2
ruby-augeas 0.5.0
ruby-cairo-gobject 4.1.2
ruby-dict 0.9.4
ruby-elf 1.0.8
ruby-feedparser 0.11.2
ruby-filemagic 0.7.3
ruby-gdk3 4.1.2
ruby-gdkpixbuf2 4.1.2
ruby-gettext 3.4.3
ruby-gio2 4.1.2
ruby-glib2 4.1.2
ruby-gobject-introspection 4.1.2
ruby-gtk2 3.5.1
ruby-gtk3 4.1.2
ruby-hmac 0.4.0
ruby-ldap 0.9.20
ruby-macho 3.0.0
ruby-mode 3.0.0
ruby-modes 1.07
ruby-mp3info 0.8.10
ruby-net-ldap 0.18.0
ruby-oembed 0.16.1
ruby-ole 1.2.12.2
ruby-opengl 0.10.0
ruby-openid 2.9.2
ruby-pango 4.1.2
ruby-poppler 4.1.2
ruby-prof 1.6.1
ruby-progressbar 1.13.0
ruby-rc4 0.1.5
ruby-romkan 0.4
ruby-shadow 2.5.1
ruby-shout 2.2.2
ruby-ssl 13
ruby-termios 1.1.0
ruby-yadis 0.3.4
ruby2_keywords 0.0.5
ruby2ruby 2.4.4
rubygems 18
rubygems 3.4.6
rubyntlm 0.6.3
rubypants 0.7.1
rubytest 0.8.1
rubytest-cli 0.2.0
rubytter 1.5.1
rubyzip 2.3.2
rudel 0.3.2
ruff 0.0.265
ruffle 0_p20230426
runc 1.1.5
rundeck-cli-bin 2.0.1
runit 2.1.2
runv 0.7.0
rush 2.3
rust 1.69.0
rust 1.69.0
rust-bin 1.69.0
rust-mode 1.0.5
rust-vim 1_pre20210215
rustls-ffi 0.10.0
rustup 1.25.2
rustworkx 0.12.1
rutorrent 4.1.3
rw 0.9
rwbs 0.27
rwhoisd 1.5.9.6
rxtx 2.2_pre2
rxvt-unicode 9.31
rygel 0.42.3
ryzen_monitor 1.0.5
ryzen_smu 0.1.2_p20211205
RyzenAdj 0.13.0
rzip 2.1
s 1.13.0
s-nail 14.9.24
s25rttr 0.9.5
s2n 1.0.0
s390-tools 2.12.0
s3backer 1.6.3
s3cmd 2.3.0
s3fs 1.91
s3transfer 0.6.1
s4cmd 2.1.0
s6 2.11.3.2
s6-dns 2.3.5.5
s6-linux-init 1.1.1.0
s6-linux-utils 2.6.1.2
s6-networking 2.5.1.3
s6-overlay 2.1.0.2
s6-portable-utils 2.3.0.2
s6-rc 0.5.4.1
sable 1.0
sablotron 1.0.3
sabnzbd 3.7.2
SabreAMF 1.5.0
sabyenc 5.4.4
safe 0.3.19
safe_yaml 1.0.5
safe-exceptions 0.1.7.0
Safe-Hole 0.140.0
Safe-Isa 1.0.10
safecat 1.13
safecopy 1.7
safeeyes 2.1.5
safesemaphore 0.10.1
sagan 2.0.1
sagan-rules 20210208
sakura 3.8.4
salinfo 1.2
salt 3006.0
salt-vim 20151119
sam2p 0.49.4_p20190718
samba 4.18.0
sameboy-jg 0.15.8
samplicator 1.3.8_rc1
samtools 1.17
samurai 1.2
sancp 1.6.1
sandbox 2.30
sandboxfs 0.2.0
sandi 0.5
sandy 0.4
sane-airscan 0.99.27
sane-backends 1.2.1
sane-frontends 1.0.14
sanewall 1.1.6
sanitize 6.0.1
sanitized-anchor-name 0_pre20151027
sanlock 3.8.5
sarab 1.0.0
sarg 2.4.0
sarge 0.1.7_p1
sarif_om 1.0.4
sas2ircu 20
sas3flash 16
sas3ircu 16
sash 3.8
sasl 1.18
saslprep 1.1
sasm 3.10.1
sass 3.7.4
sass-listen 4.0.0
sass-rails 5.1.0
sassc 2.4.0
sassc 3.6.2
sassc-rails 2.1.2
satellite-reign 1.13.06
sauerbraten 2020.12.27
savagewheels 1.6.1
sawyer 0.9.2
sax 2.2.1
saxon 9.2.0.6
say 1.4.1
saydate 0.3.0
sazanami 20040629
sbc 2.0
sbcl 2.3.4
sbctl 0.11
sbd 1.37
sbsigntools 0.9.4
sbt 0.13.18
sbt-bin 1.8.0
sc-controller 0.4.8.9
sc-im 0.8.3
scad-mode 93.2
scala 2.12.10
scala-bin 2.13.9
scala-cli-bin 1.0.0_rc1
scala-mode 2.10.3
scala-syntax 1.0
scalapack 2.1.0
Scalar-List-Utils 1.560.0
Scalar-Properties 1.100.860
scalpel 2.1_pre20210326
scamp 2.0.4
scanlogd 2.2.8
scanmem 0.17
scanssh 2.1.2
scantailor-advanced 1.0.16
scap-driver 0.29.3
scapy 2.5.0
sccache 0.3.0
scdoc 1.11.2
scdrand 0.3.5
schedtool 1.3.0
Schedule-At 1.150.0
Schedule-Cron-Events 1.960.0
scheme 1.22
scheme-complete 0.9.9
scheme48 1.9.2
schismtracker 20221201
schroot 1.6.13_p2
scid 4.7.0
scidavis 2.9.0
scientific 0.3.7.0
scikit-build 0.17.3
scikit-image 0.19.3
scikit-learn 1.1.2
scikit-optimize 0.9.0
scim 1.4.18
scim-anthy 1.2.7
scim-bridge 0.4.16
scim-bridge-el 0.8.2
scim-hangul 0.4.0
scim-input-pad 0.1.3.1
scim-m17n 0.2.3
scim-pinyin 0.5.92
scim-sayura 0.3.3
scim-tables 0.5.13
scim-tomoe 0.6.0
scim-uim 0.2.0
scipy 1.10.1
scite 5.3.5
scm 5.5.6
scmail 1.3
scmpc 0.4.1
scmxlate 20090410
scmxx 0.9.0
scons 4.5.2
Scope-Guard 0.210.0
Scope-Upper 0.320.0
scorched3d 44
scotch 7.0.1
scour 0.38.2
scourge 0.21.1
scponly 4.8
scram 2.1
scramble 0.9.5
scrap-engine 1.2.0
scrcpy 2.0
scream 4.0
screen 1.5
screen 4.9.0
screen-message 0.26
screenfetch 3.9.1
screengrab 2.6.0
screenie 20120406
screenkey 1.5_p20230109
scribus 1.5.8
scripts 1.0.1
scripttest 1.3.0
scrollkeeper-dtd 1.0
scrollz 2.3.1
scrot 1.9
scrub 2.6.1
scrypt 0.8.20
scrypt 1.3.1
scrypt 2.0.0
scsiadd 1.97
scsiping 0.0.1
scsirastools 1.6.6
scss-mode 0.5.0_p20180123
sct 0.5
scummvm 2.7.0
scummvm-tools 2.2.0
scute 1.7.0
scw 0.4.7
scwoop 4.1
sdb 1.0.2
sdbus-c++ 1.2.0
sdcc 4.2.0
sdcv 0.5.4
sddm 0.18.1
sddm-kcm 5.27.4.1
sdformat 9.10.0
SDL 2.548.0
sdl_audiolib 0_p20220622
sdl-gfx 2.0.26
sdl-image 1.2.12_p20220527
sdl-jewels 1.1.1
sdl-mixer 1.2.12_p20221010
sdl-net 1.2.8_p20221010
sdl-pango 0.1.2
sdl-sopwith 1.7.5
sdl-sound 1.0.3_p20220525
sdl-ttf 2.0.11_p20220525
sdl2-gfx 1.0.4
sdl2-image 2.6.3
sdl2-mixer 2.6.3
sdl2-net 2.0.1
sdl2-ttf 2.20.2
sdljoytest 11102003
sdlroids 1.3.4
sdlsasteroids 3.0.1
sdoc 1.1.0
sdparm 1.12
sdrplay 3.07.1
seabios 1.16.0
seabios-bin 1.16.0
seaborn 0.12.2
seafile 9.0.1
seafile-client 9.0.1
seahorse 43.0
seamonkey 2.53.15
Search-Sitemap 2.130.0
Search-Xapian 1.2.25.5
searchandrescue 1.7.0
searchcomplete 1.1
seatd 0.7.0
seatris 0.0.14
seaview 4.6
sebastian-code-unit-reverse-lookup 2.0.3
sebastian-comparator 3.0.2
sebastian-complexity 2.0.2
sebastian-diff 3.0.2
sebastian-environment 5.1.3
sebastian-exporter 3.1.2
sebastian-global-state 3.0.0
sebastian-lines-of-code 1.0.3
sebastian-object-enumerator 3.0.3
sebastian-object-reflector 2.0.4
sebastian-recursion-context 3.0.0
sebastian-resource-operations 2.0.1
sebastian-type 1.1.4
sebastian-version 3.0.2
sec 2.9.1
secilc 3.5
secpanel 0.6.1
secret-service 0
secretstorage 3.3.3
securemem 0.1.10
securemodelines 20140926
securimage 3.6.5
sed 4.9
sedlex 3.1
sedutil 1.20.0
seed-fu 2.3.9
seedir 0.4.2
seekwatcher 0.13
seer 1.17
seetxt 0.72
sel 0.08.4
selecta 0.0.7
selectwm 0.4.1
selenium 4.9.0
selenium-webdriver 4.1.0
self 0.360.0
selflinux 0.13.0
selfoss 2.19
selint 1.2.1
selinux-accountsd 2.20221101
selinux-acct 2.20221101
selinux-afs 2.20221101
selinux-aide 2.20221101
selinux-alsa 2.20221101
selinux-amanda 2.20221101
selinux-amavis 2.20221101
selinux-android 2.20221101
selinux-apache 2.20221101
selinux-apcupsd 2.20221101
selinux-apm 2.20221101
selinux-arpwatch 2.20221101
selinux-asterisk 2.20221101
selinux-at 2.20221101
selinux-automount 2.20221101
selinux-avahi 2.20221101
selinux-awstats 2.20221101
selinux-backup 2.20221101
selinux-bacula 2.20221101
selinux-base 2.20221101
selinux-base-policy 2.20221101
selinux-bind 2.20221101
selinux-bitcoin 2.20221101
selinux-bitlbee 2.20221101
selinux-bluetooth 2.20221101
selinux-brctl 2.20221101
selinux-cachefilesd 2.20221101
selinux-calamaris 2.20221101
selinux-canna 2.20221101
selinux-cdrecord 2.20221101
selinux-ceph 2.20221101
selinux-certbot 2.20221101
selinux-cgmanager 2.20221101
selinux-cgroup 2.20221101
selinux-chromium 2.20221101
selinux-chronyd 2.20221101
selinux-clamav 2.20221101
selinux-cloudinit 2.20221101
selinux-collectd 2.20221101
selinux-colord 2.20221101
selinux-container 2.20221101
selinux-corosync 2.20221101
selinux-couchdb 2.20221101
selinux-courier 2.20221101
selinux-cpucontrol 2.20221101
selinux-cpufreqselector 2.20221101
selinux-crio 2.20221101
selinux-cups 2.20221101
selinux-cvs 2.20221101
selinux-cyphesis 2.20221101
selinux-daemontools 2.20221101
selinux-dante 2.20221101
selinux-dbadm 2.20221101
selinux-dbskk 2.20221101
selinux-dbus 2.20221101
selinux-ddclient 2.20221101
selinux-devicekit 2.20221101
selinux-dhcp 2.20221101
selinux-dictd 2.20221101
selinux-dirmngr 2.20221101
selinux-dirsrv 2.20221101
selinux-distcc 2.20221101
selinux-djbdns 2.20221101
selinux-dkim 2.20221101
selinux-dmidecode 2.20221101
selinux-dnsmasq 2.20221101
selinux-docker 2.20221101
selinux-dovecot 2.20221101
selinux-dpkg 2.20221101
selinux-dracut 2.20221101
selinux-dropbox 2.20221101
selinux-entropyd 2.20221101
selinux-evolution 2.20221101
selinux-exim 2.20221101
selinux-fail2ban 2.20221101
selinux-fetchmail 2.20221101
selinux-finger 2.20221101
selinux-flash 2.20221101
selinux-fprintd 2.20221101
selinux-ftp 2.20221101
selinux-games 2.20221101
selinux-gatekeeper 2.20221101
selinux-git 2.20221101
selinux-gitosis 2.20221101
selinux-glusterfs 2.20221101
selinux-gnome 2.20221101
selinux-googletalk 2.20221101
selinux-gorg 2.20221101
selinux-gpg 2.20221101
selinux-gpm 2.20221101
selinux-gpsd 2.20221101
selinux-gssproxy 2.20221101
selinux-hddtemp 2.20221101
selinux-hostapd 2.20221101
selinux-icecast 2.20221101
selinux-ifplugd 2.20221101
selinux-inetd 2.20221101
selinux-inn 2.20221101
selinux-ipsec 2.20221101
selinux-irc 2.20221101
selinux-ircd 2.20221101
selinux-irqbalance 2.20221101
selinux-jabber 2.20221101
selinux-java 2.20221101
selinux-kdeconnect 2.20221101
selinux-kdump 2.20221101
selinux-kerberos 2.20221101
selinux-kerneloops 2.20221101
selinux-kismet 2.20221101
selinux-ksmtuned 2.20221101
selinux-kubernetes 2.20221101
selinux-ldap 2.20221101
selinux-links 2.20221101
selinux-lircd 2.20221101
selinux-loadkeys 2.20221101
selinux-logrotate 2.20221101
selinux-logsentry 2.20221101
selinux-logwatch 2.20221101
selinux-lpd 2.20221101
selinux-makewhatis 2.20221101
selinux-mandb 2.20221101
selinux-matrixd 2.20221101
selinux-mcelog 2.20221101
selinux-memcached 2.20221101
selinux-milter 2.20221101
selinux-modemmanager 2.20221101
selinux-mono 2.20221101
selinux-mozilla 2.20221101
selinux-mpd 2.20221101
selinux-mplayer 2.20221101
selinux-mrtg 2.20221101
selinux-munin 2.20221101
selinux-mutt 2.20221101
selinux-mysql 2.20221101
selinux-nagios 2.20221101
selinux-ncftool 2.20221101
selinux-networkmanager 2.20221101
selinux-nginx 2.20221101
selinux-node_exporter 2.20221101
selinux-nslcd 2.20221101
selinux-ntop 2.20221101
selinux-ntp 2.20221101
selinux-nut 2.20221101
selinux-nx 2.20221101
selinux-obfs4proxy 2.20221101
selinux-oddjob 2.20221101
selinux-oident 2.20221101
selinux-openct 2.20221101
selinux-openrc 2.20221101
selinux-opensm 2.20221101
selinux-openvpn 2.20221101
selinux-pan 2.20221101
selinux-pcscd 2.20221101
selinux-phpfpm 2.20221101
selinux-plymouthd 2.20221101
selinux-podman 2.20221101
selinux-policykit 2.20221101
selinux-portmap 2.20221101
selinux-postfix 2.20221101
selinux-postgresql 2.20221101
selinux-postgrey 2.20221101
selinux-ppp 2.20221101
selinux-privoxy 2.20221101
selinux-procmail 2.20221101
selinux-psad 2.20221101
selinux-publicfile 2.20221101
selinux-pulseaudio 2.20221101
selinux-puppet 2.20221101
selinux-python 3.5
selinux-pyzor 2.20221101
selinux-qemu 2.20221101
selinux-qmail 2.20221101
selinux-quota 2.20221101
selinux-radius 2.20221101
selinux-radvd 2.20221101
selinux-razor 2.20221101
selinux-redis 2.20221101
selinux-remotelogin 2.20221101
selinux-resolvconf 2.20221101
selinux-rngd 2.20221101
selinux-rootlesskit 2.20221101
selinux-rpc 2.20221101
selinux-rpcbind 2.20221101
selinux-rpm 2.20221101
selinux-rssh 2.20221101
selinux-rtkit 2.20221101
selinux-rtorrent 2.20221101
selinux-salt 2.20221101
selinux-samba 2.20221101
selinux-sasl 2.20221101
selinux-screen 2.20221101
selinux-secadm 2.20221101
selinux-sendmail 2.20221101
selinux-sensord 2.20221101
selinux-shorewall 2.20221101
selinux-shutdown 2.20221101
selinux-skype 2.20221101
selinux-slocate 2.20221101
selinux-slrnpull 2.20221101
selinux-smartmon 2.20221101
selinux-smokeping 2.20221101
selinux-snmp 2.20221101
selinux-snort 2.20221101
selinux-soundserver 2.20221101
selinux-spamassassin 2.20221101
selinux-squid 2.20221101
selinux-sssd 2.20221101
selinux-stunnel 2.20221101
selinux-subsonic 2.20221101
selinux-sudo 2.20221101
selinux-sxid 2.20221101
selinux-syncthing 2.20221101
selinux-syntax 20041225
selinux-sysstat 2.20221101
selinux-tboot 2.20221101
selinux-tcpd 2.20221101
selinux-tcsd 2.20221101
selinux-telnet 2.20221101
selinux-tftp 2.20221101
selinux-tgtd 2.20221101
selinux-thunderbird 2.20221101
selinux-timidity 2.20221101
selinux-tmpreaper 2.20221101
selinux-tor 2.20221101
selinux-tripwire 2.20221101
selinux-ucspitcp 2.20221101
selinux-ulogd 2.20221101
selinux-uml 2.20221101
selinux-unconfined 2.20221101
selinux-uptime 2.20221101
selinux-usbguard 2.20221101
selinux-usbmuxd 2.20221101
selinux-uucp 2.20221101
selinux-uwimap 2.20221101
selinux-uwsgi 2.20221101
selinux-varnishd 2.20221101
selinux-vbetool 2.20221101
selinux-vdagent 2.20221101
selinux-vde 2.20221101
selinux-virt 2.20221101
selinux-vlock 2.20221101
selinux-vmware 2.20221101
selinux-vnstatd 2.20221101
selinux-vpn 2.20221101
selinux-watchdog 2.20221101
